"name","latitude","longitude","been"
"Bagan","21°10′21″N","94°51′36″E","todo"
"Angor Wat","13°24′45″N","103°52′0″E","todo"
"Dendera","26°8′30″N","32°40′13″E","been"
"Rangiri Dambulla Cave Temple","7°51′24″N","80°38′57″E","todo"
"Abu Simbel","22°20′13″N","31°37′32″E","todo"
"Luxor","25°42′0″N","32°38′21″E","been"
"Temple of the Inscriptions","17.4836°N","92.0468°W","todo"
"Ram Mandir","26.7956°N","82.1943°E","todo"
"Washington Temple","39.0141","-77.0656","been"
"Temple Mount","31°46′41″N","35°14′9″E","been"
"Petra","30°19′43″N","35°26′31″E","todo"
"Parthenon","37.9715°N","23.7266°E","todo"
"Iwakisan-jinja","40°36′57.82″N","140°21′55.64″E","been"
"Bulguksa","35°47′24″N","129°19′56″E","been"
"Borobudur","7.608°S","110.204°E","todo"
"Great Living Chola Temples","10°46′59″N","79°07′57″E","todo"
"Temple of Heaven","39.8822°N","116.4066°E","todo"
"Pattadakal","15°57′05″N","75°48′53″E","todo"
"Harimandir Sahib","31°37′12″N","74°52′35″E","todo"
"Bahá’í Gardens","32°48′52″N","34°59′13″E","been"
"Wat Phra Kaew วัดพระแก้ว","13°45′5″N","100°29′33″E","been"
"Pecos Pueblo","35°33′00″N","105°41′4″W","been"
"Chichen Itza","20°40′59″N","88°34′7″W","todo"
"Nabi Shuʿayb","32°48′17″N","35°27′2″E","been"
"Temple Church","51.5132°N","0.1104°W","been"
"Temple of Apollo","38°28′56″N","22°30′04″E","todo"
"Itsukushima-jinja","34°17′45″N","132°19′11″E","todo"
"Parshvanatha","24.8448503°N","79.9365747°E","todo"
"Panthéon","48°50′46″N","2°20′45″E","been"
"Dendur","23°22′59″N","32°57′00″E","been"
"Mahabalipuram","12.6167°N","80.1917°E","todo"
"Kyoto","35°0′42″N","135°46′6″E","todo"
"Tatsuta-jinja","34°35′35″N","135°41′15″E","todo"
"Debod","40°25′26.59″N","3°43′04″W","been"
"Temple of Hera","37°38′20″N","21°37′47″E","todo"
"Oracle of Amun","29°12′19″N","25°31′10″E","been"
