"name","latitude","longitude","been"
"Ryugyong Hotel","39°02′12″N","125°43′51″E","todo"
"Washington National Cathedral","38°55′50″N","77°4′15″W","been"
"Shukhov Tower (Moscow)","55°43′02″N","37°36′41″E","todo"
"Juche Tower","39.0176°N","125.7637°E","todo"
"Brickell Flatiron","25.764°N","80.193°W","been"
"Freedom Tower","25°46′48″N","80°11′23″W","been"
"Transamerica Pyramid","37.7952°N","122.4028°W","been"
"Trump Tower Chicago","41.8889°N","87.6264°W","been"
"One Penn Plaza","40°45′5″N","73°59′35″W","been"
"Petřín Lookout Tower","50°05′0.76″N","14°23′42.18″E","been"
"Burj Al Arab","25.14138888888889","55.18527777777778","been"
"Southeast Financial Center","25.772255°N","80.187677°W","been"
"Iberdrola Tower","43°16′03″N","2°56′19″W","todo"
"Petronas Towers","3.1575875","101.7119274","todo"
"One Manhattan West","40.7527°N","73.9977°W","been"
"56 Leonard","40.71767°N","74.00637°W","been"
"Goldin Finance 117","39.08922","117.08083","todo"
"Dade County Courthouse","25°46′28.6″N","80°11′42.5″W","been"
"Torre della Garisenda","44.4943°N","11.3468°E","todo"
"Liberty Place","39.9522°N","75.1678°W","been"
"Lincoln Cathedral","53°14′04″N","0°32′10″W","been"
"Vasco da Gama Tower","38°46′29″N","9°05′29″W","todo"
"Empire State Building","40°44′54″N","73°59′07″W","been"
"Willis Tower","41.8789°N","87.6358°W","been"
"Madison Square Park Tower","40.7399°N","73.9872°W","been"
"John Hancock Center","41.8988°N","87.623°W","been"
"JW Marriott Marquis Dubai","25.1856°N","55.2566°E","been"
"Metropolitan Life Tower","40°44′28″N","73°59′15″W","been"
"Panorama Tower","25.763062°N","80.19037°W","been"
"Millennium Tower","48°14′25.08″N","16°23′13.2″E","been"
"Torre degli Asinelli","44.494127","11.346712","todo"
"Great Pyramid of Giza","29°58′45″N","31°08′03″E","been"
"JPMorgan Chase Building","40.7558°N","73.9754°W","been"
"23 Marina","25°05′23.30″N","55°09′02.28″E","been"
"Seneca One Tower","42.8795°N","78.8757°W","been"
"Space Needle","47.6204°N","122.3491°W","been"
"Lakhta Center","59.98703","30.17814","todo"
"Kigali City Tower","1.9433°S","30.0596°E","been"
"The Marina Torch","25°05′16.59″N","55°08′51.00″E","been"
"Torres Venecianes","41.37403°N","2.149801°E","been"
"Torre Calatrava","41°21′51″N","2°09′02″E","been"
"U.S. Steel Tower","40.4413°N","79.9947°W","been"
"Harkness Tower","41.3093°N","72.9294°W","been"
"Bunker Hill Monument","42°22′34.9″N","71°3′38.8″W","been"
"One World Trade Center","40°42′47″N","74°00′48″W","been"
"George Washington Masonic Memorial","38.80748°N","77.06598°W","been"
"CN Tower","43°38′33.36″N","79°23′13.56″W","been"
"Shanghai Tower","31.2355°N","121.501°E","todo"
"Steinway Tower","40.7649°N","73.9775°W","been"
"One Thousand Museum","25.7841°N","80.19°W","been"
"Taipei 101","25.033641666666668","121.56488611111111","todo"
"Landmark 81","10.795","106.72194444444445","todo"
