"name","latitude","longitude","been"
"Goetheplatz","52.37265°N","9.72349°E","todo"
"Moscow Triumphal Gate","59.8917°N","30.3195°E","todo"
"Tropenmuseum","52.3633°N","4.9228°E","todo"
"Romanplatz","48.1555°N","11.5116°E","todo"
"Barrière de Saint-Gilles","50.8269°N","4.3446°E","been"
"Chocianowice Ikea","51.70053°N","19.41401°E","todo"
"Rondo Będzin","50.3249°N","19.1243°E","been"
"Osiedle Zawadzkiego","53.45684°N","14.48823°E","todo"
"Rond de Grote Kerk","52.07752°N","4.30747°E","been"
"Chełm Witosa","54.33758°N","18.61716°E","todo"
"Koszutka Słoneczna Pętla","50.2736°N","19.0248°E","been"
"Bienfaiteurs","50.85801°N","4.38422°E","been"
"Meerplein","50.8327°N","4.3023°E","been"
"Turgenev Square","59.9184°N","30.289°E","todo"
"Oliwa","54.40984°N","18.56668°E","todo"
"Basel SBB","47.5483°N","7.5903°E","been"
"Plac Wolności","50.2598°N","19.0132°E","todo"
"Warszawska–Duży Skręt","51.66494°N","19.39301°E","todo"
"Place de l’Altitude Cent","50.8166°N","4.3368°E","been"
"Hackescher Markt","52.523°N","13.4018°E","been"
"Stortorvet","59.9128°N","10.7453°E","todo"
"Hoofddorpplein","52.3513°N","4.85°E","todo"
"Surinameplein","52.3584°N","4.8532°E","todo"
"Trg Žrtava Fašizma","45.81°N","15.9872°E","todo"
"Place Dumon","50.84°N","4.465°E","been"
"Rondo Lotników Lwowskich","51.73149°N","19.45294°E","todo"
"Weteringschans","52.37574°N","4.81907°E","todo"
"Churchill","50.8119°N","4.3539°E","been"
"Haarlemmermeer","52.3496°N","4.8575°E","todo"
"Stocznia Szczecińska","53.44103°N","14.57491°E","todo"
"Regina Margherita","41.9111°N","12.509°E","todo"
"Welhaven Gate","59.921°N","10.732°E","todo"
"Slotermeerlaan","52.37574°N","4.81907°E","todo"
"Porta Maggiore","41.8915°N","12.5151°E","todo"
"Lenina / Lunacharskogo","56.8402°N","60.6206°E","todo"
"Kaiserplatz","49.0103°N","8.3889°E","been"
"Alt-Köpenick","52.4456°N","13.576°E","been"
"Plac Narutowicza","52.21875°N","20.98384°E","todo"
"Verboekhoven","50.8714°N","4.3759°E","been"
"Mihaljevac","45.8422°N","15.9746°E","todo"
"Bersarinplatz","52.5186°N","13.453°E","been"
"Zaspa","54.39955°N","18.59544°E","todo"
"Paunsdorf-Nord","51.3606°N","12.47°E","todo"
"Moscow Highway","54.3064°N","48.3497°E","todo"
"Lee Circle","29.9433°N","90.0725°W","todo"
"Georgia Ave / Florida Ave","38.91627°N","77.02191°W","been"
"Moldavská","48°42′18″N","21°14′35″E","todo"
"Rondo Chebzie Pętla","50.3007°N","18.8824°E","been"
"Maxmonument","48.1376°N","11.588°E","todo"
"Karolinenplatz","48.14471°N","11.56914°E","todo"
