"name","latitude","longitude","been"
"Leipzig","51°20′″N","12°23′″E","todo"
"Sarajevo","43°51′23″N","18°24′47″E","been"
"Denver","39.7392°N","104.9849°W","todo"
"Abuja","9.0505°N","7.4719°E","todo"
"Lausanne","46°31.19′N","6°38.01′E","todo"
"Reims","49.265277777778","4.0286111111111","been"
"Porto","41.16214166666666","-8.621952777777778","been"
"Ghent","51.053°N","3.72°E","todo"
"Moscow","55°45′″N","37°37′″E","been"
"Cincinnati","39°06′00″N","84°30′45″W","todo"
"Saarbrücken","49.233333333333","7.0","been"
"Hong Kong","22.2883°N","114.1377°E","todo"
"Tenerife","28°16′7″N","16°36′20″W","todo"
"Germany","52°31′N","13°23′E","todo"
"Nottingham","52.9561°N","1.1512°W","todo"
"Bilbao","43°15′13″N","2°55′18″W","todo"
"Minsk","53°54′02″N","27°33′31″E","todo"
"Sacramento","38°34′54″N","121°29′40″W","todo"
"Russia","55°45′21″N","37°37′02″E","todo"
"Kaliningrad","54°42′01″N","20°27′11″E","todo"
"Angers","47.473611111111","0.55416666666667","todo"
"Melbourne","37°48′51″S","144°57′47″E","todo"
"Sydney","33°52′04″S","151°12′36″E","todo"
"Antwerp","51°13′04″N","04°24′01″E","been"
"Baltimore","39°17′22″N","76°36′55″W","todo"
"Belgian Coast","51.26495°N","3.00544°E","been"
"Chongjin","41°47′N","129°46′E","todo"
"Sintra","38°47′57″N","9°23′18″W","been"
"China","39°55′N","116°23′E","todo"
"Karlsruhe","49°00′33″N","08°24′14″E","been"
"Lisbon","38°43′31″N","09°09′00″W","been"
"Alexandria","31°11′51″N","29°53′33″E","todo"
"Zagreb","45°48′47″N","15°58′39″E","todo"
"Clermont-Ferrand","45.78055555555556","3.0875","been"
"Munich","48.1484°N","11.4616°E","todo"
"Dresden","51°03′03″N","13°44′00″E","todo"
"Bergen","60°23′33″N","5°19′24″E","todo"
"Dijon","47.323055555556","5.0419444444444","todo"
"Adelaide","34°55′39″S","138°36′00″E","todo"
"Wuppertal","51°16′1.52″N","7°10′53.13″E","todo"
"Kirnitzschtal","50.92126","14.1582","todo"
"Istanbul","41°00′49″N","28°57′18″E","todo"
"Besançon","47°14′24″N","6°1′12″E","todo"
"Boston","42°19′7″N","70°59′28″W","been"
"Brest","48.39","-4.4869444444444","todo"
"Palermo","38°06′40″N","13°21′06″E","todo"
"Debrecen","47°31′54″N","21°37′28″E","todo"
"Nice","43°41′49.36″N","7°16′13.35″E","been"
"Charleroi","50.416666666","4.444166666","been"
"Milwaukee","43°02′03″N","87°55′02″W","todo"
"Helsinki","60°10′15″N","24°56′15″E","todo"
"Liberec","50°46′N","15°4′E","todo"
"Basel","47°33′17″N","7°35′21″E","been"
"Guadalajara","20°43′49″N","103°21′08″W","todo"
"Tallinn","59.437222222222225","24.745","todo"
"Orléans","47.902222222222","1.9041666666667","todo"
"Seville","39.5°N","3.7°W","todo"
"Tunis","36°48′23″N","10°10′54″E","todo"
"Nizhny Novgorod","56°19′37″N","44°00′27″E","todo"
"Atlanta","33°44′56″N","84°23′24″W","todo"
"Hannover","52.37416666666667","9.716666666666667","todo"
"Ostrava","49°50′8″N","18°17′33″E","todo"
"Dakar","14°41′34″N","17°26′48″W","been"
"Dubai","25.2697°N","55.3095°E","been"
"Prague","50°05′15″N","14°25′17″E","been"
"Brno","49°11′33″N","16°36′30″E","been"
"Oranjestad","12°31′12.3″N","70°02′13.2″W","todo"
"Hiroshima","34°23′29″N","132°27′07″E","been"
"Birmingham","52.48","-1.9025","todo"
"Lund","55°42′14″N","13°11′42″E","todo"
"Nancy","48.693333333333335","6.184444444444445","todo"
"Nantes","47.218055555556","-1.5527777777778","todo"
"Mexico City","19.419444444","-99.145555555","todo"
"Manchester","53.41667","-2.25","todo"
"Mulhouse","47.749166666667","7.34","todo"
"Madrid","40°25′01″N","03°42′12″W","todo"
"Barcelona","39.5°N","3.7°W","been"
"Mauritius","20.16043°S","57.50141°E","todo"
"Szeged","46.255°N","20.145°E","todo"
"Edinburgh","55.98°N","3.1889°W","todo"
"Medellín","6°13′51″N","75°35′26″W","todo"
"Timișoara","45°45′35″N","21°13′48″E","todo"
"Queensland","27°28′08″S","153°1′25″E","todo"
"Caen","49.183055555556","-0.36944444444444","been"
"Samarkand","39°39′17″N","66°58′33″E","todo"
"Kamakura","35°19′11″N","139°33′09″E","todo"
"Marseille","43.2975","5.3769444444444","todo"
"Łódź","51°46′37″N","19°27′17″E","todo"
"Le Havre","49.49°N","0.1°E","todo"
"Rennes","48.114166666","-1.680833333","been"
"Jersey City","40.73","-74.08","been"
"Turin","45°04′45″N","07°40′34″E","todo"
"Budapest","47.5","19.05","todo"
"Košice","48°43′N","21°15′E","todo"
"Olomouc","49°35′38″N","17°15′3″E","been"
"Odense","55.38","10.38","todo"
"Toulouse","43.5926562443911","1.4346536657002795","been"
"Osaka","34°41′38″N","135°30′8″E","todo"
"Wrocław","51°06′36″N","17°01′57″E","todo"
"Rome","41°53′36″N","12°28′58″E","todo"
"Zürich","47.378169444444445","8.540177777777778","been"
"Trondheim","63°24′51″N","10°22′38″E","todo"
"Brussels","50°50′48″N","04°21′09″E","been"
"Milan","45°28′01″N","09°11′24″E","todo"
"Grenoble","45.186944444444","5.7263888888889","todo"
"Pyongyang","39°01′00″N","125°44′51″E","todo"
"Kyoto","35.00333333","135.74722222","todo"
"Toruń","53°01′20″N","18°36′40″E","todo"
"Oslo","59°54′48″N","10°44′20″E","todo"
"Luxembourg","49°48′52″N","06°07′54″E","been"
"Aubagne","43.2908°N","5.5708°E","todo"
"Florence","43°46′17″N","11°15′15″E","todo"
"Riga","56.971906","24.032467","todo"
"Graz","47°04′15″N","15°26′19″E","been"
"Minneapolis","44°59′5″N","93°16′54″W","todo"
"Norrköping","58°36′N","16°12′E","todo"
"Lviv","49°50′33″N","24°01′56″E","todo"
"Sheffield","53°22′51″N","01°28′13″W","been"
"Stockholm","59°21′″N","18°04′″E","todo"
"Zaragoza","39.5°N","3.7°W","todo"
"Bordeaux","44.838611111111","-0.57833333333333","todo"
"Philadelphia","39.9528°N","75.1636°W","been"
"Oklahoma City","35°28′7″N","97°31′17″W","todo"
"Saint Petersburg","59°56′15″N","30°18′31″E","todo"
"Tours","47.392777777778","0.68833333333333","todo"
"Jerusalem","31.778888888","35.225555555","been"
"Arad","46.166666666667","21.316666666667","todo"
"Cuenca","40.0","-2.0","todo"
"Kyiv","50.4°N","30.54°E","todo"
"Paris","48.85666666666667","2.352222222222222","been"
"Tuscon","32.2277°N","110.9656°W","todo"
"Valencia","39.47","-0.376388888","todo"
"Linz","48°18′21″N","14°17′11″E","todo"
"Zaporizhia","47°51′00″N","35°07′03″E","todo"
"Waterloo","43.49829°N","80.52951°W","todo"
"Baden bei Wien","48.0994°N","16.3149°E","been"
"Gdańsk","54°20′51″N","18°38′43″E","todo"
"Innsbruck","47°16′06″N","11°23′36″E","todo"
"Geneva","46°12′37″N","6°8′36″E","been"
"El Paso","31°45′33″N","106°29′19″W","todo"
"Rio de Janeiro","22°54′40″S","43°12′20″W","todo"
"Bratislava","48°08′38″N","17°06′35″E","been"
"Gothenburg","57°42′27″N","11°58′03″E","todo"
"Detroit","42°19′53″N","83°02′45″W","todo"
"Rouen","49.443888888889","1.1030555555556","todo"
"Montpellier","43.60498°N","3.88051°E","been"
"Athens","37°59′03″N","23°43′41″E","todo"
"Salt Lake City","40.770833°N","111.921111°W","todo"
"Avignon","43.949444444444445","4.808888888888889","todo"
"Katowice","50.261161884504276","19.066045924456443","been"
"Vienna","48°12′29.40″N","16°22′21.13″E","been"
"Constantine","36.3583°N","6.6056°E","todo"
"Amsterdam","52.367","4.9","been"
"Bucharest","44°25′57″N","26°6′14″E","todo"
"Bonn","50°44′N","7°6′E","todo"
"Dnipro","48°28′03″N","35°02′24″E","todo"
"Mariupol","47°5′45″N","37°32′58″E","todo"
"Kraków","50°03′41″N","19°56′14″E","todo"
"Sofia","42.7°N","23.33°E","todo"
"Valenciennes","50.358055555556","3.5233333333333","todo"
"Hakodate","41°46′07″N","140°43′44″E","been"
"Miskolc","48°06′15″N","20°47′30″E","todo"
"Canberra","35°11′8.3″S","149°8′7.73″E","todo"
"Saint-Étienne","45.433888888889","4.3897222222222","been"
"Houston","38.899055555556","-77.028944444444","todo"
"Frankfurt am Main","50°06′28″N","08°39′53″E","todo"
"Århus","56.166666666","9.5","todo"
"Addis Ababa","9°1′48″N","38°44′24″E","todo"
"Japan","35°41′N","139°46′E","todo"
"Toronto","43°44′30″N","79°22′24″W","been"
"Strasbourg","48°35′03.7″N","7°44′39.2″E","been"
"Den Haag","52.083","4.317","been"
"Blackpool","53.7781","-3.05728","todo"
"London","51.3872","-0.1344","been"
"Cluj-Napoca","46°46′N","23°35′E","todo"
