"name","latitude","longitude","been"
"Avenida de América","40.438611","-3.675278","todo"
"Shinjuku","35°42′5″N","139°42′35″E","been"
"Grand Central–42nd Street","40°45′08″N","73°58′39″W","been"
"59th Street–Columbus Circle","40°46′05″N","73°58′55″W","been"
"Iidabashi","35°42′09″N","139°44′41″E","todo"
"Five Points","33.017189","-85.351208","todo"
"Chambers Street","40.715517","-74.009233","been"
"Waterloo","43.466666666667","-80.516666666667","been"
"Broadway Junction","40.6789","-73.9035","been"
"West Oakland","37°48′43″N","122°17′42″W","been"
"Hammersmith","51.4928°N","0.2229°W","been"
"Arbatskaya","45.28333333","35.46666667","been"
"La Sagrera","41°25′20.49″N","2°11′10.75″E","been"
"Longyang Road","31.203147°N","121.556862°E","todo"
"Seoul","37°33′36″N","126°59′24″E","been"
"Fulton Street","40.7102","-74.0077","been"
"Chicago Loop","41°52′52″N","87°37′47″W","been"
"Nollendorfplatz","52°29′57″N","13°21′14″E","been"
"Cheongnyangni","37.586°N","127.047°E","todo"
"Times Square–42nd Street","40°45′21.6″N","73°59′13.2″W","been"
"Coney Island–Stillwell Avenue","40°34′38″N","73°58′52″W","been"
"République","48.8675","2.36333","been"
"Saint-Lazare","45.4","-74.1333","been"
"7th Street/Metro Center","54.9569","-1.6689","todo"
"Metro Center","54.9569","-1.6689","been"
"Paddington","51.5172°N","0.173°W","been"
"Baker Street","51.52°N","0.1566°W","been"
"Otemachi","35°41′17″N","139°45′51″E","been"
"Ginza","35.671217°N","139.765007°E","been"
"Châtelet","50.403888888888886","4.525277777777777","been"
"Canal Street","40.7187","-74.001","been"
"Beekkant","50°51′13″N","4°19′22″E","been"
