"name","latitude","longitude","been"
"Bizerta/Brest","48.39","-4.4869444444444","todo"
"Knoxville","35.9617°N","83.9232°W","todo"
"Widnes-Runcorn","53.3466°N","2.7363°W","todo"
"Rouen","49°26′34″N","01°05′19″E","todo"
"Aerial Lift Bridge","46°46′44.5″N","92°5′33.9″W","todo"
"Newport","51.57064°N","2.98556°W","todo"
"Warrington","53.3838°N","2.6075°W","todo"
"Sky Ride","41.860916°N","87.611525°W","todo"
"Nantes","47.2181°N","1.5528°W","todo"
"Vizcaya Bridge","43.3231°N","3.0169°W","todo"
"Royal Victoria Dock Bridge","51.5063°N","0.0261°E","todo"
"Rochefort-Martrou","45.916131°N","0.960628°W","todo"
"Marseille","43.2964°N","5.37°E","todo"
"Puente Nicolás Avellaneda","34.638017°S","58.355706°W","todo"
"Bordeaux","44.84°N","0.58°W","todo"
"Messrs. Crosfield’s","53°23′11.72″N","2°36′22.96″W","todo"
"Kiel","54°19′24″N","10°08′22″E","todo"
"Middlesbrough","54.5845°N","1.2279°W","todo"
"Osten","53°41′39.45″N","9°10′58.89″E","todo"
"Rendsburg High Bridge","54°17′36.94″N","9°40′58.45″E","todo"
"Hamrštejn Footbridge","50.786°N","14.970°E","todo"
