"name","latitude","longitude","been"
"8 Mile Corner","36°59′35″N","102°02′32″W","todo"
"Abercorn Drift","26.84006°S","32.13470°E","todo"
"Al Kufra","24°11′N","23°17′E","todo"
"Arnoldstein","46°31′22″N","13°42′51″E","todo"
"Basel","47°33′17″N","07°35′26″E","been"
"Bać","42.83345°N","20.35291°E","todo"
"Bački Breg","45.90860°N","18.81436°E","todo"
"Bet She’an","31°30′N","35°29′E","been"
"Bijeljina","44°51′09″N","19°00′38″E","todo"
"Blytheville","35°55′51″N","89°54′18″W","todo"
"Cairo","30°2′40″N","31°14′9″E","todo"
"Cerro Zapaleri","22°48′57″S","67°10′48″W","todo"
"Cinkassé","11°6′2″N","0°0′48″E","todo"
"Dead Sea","32°23′N","35°33′E","been"
"Delaware Wedge","39°42′52″N","75°47′5″W","been"
"Draudzības Kurgāns","56°09′43″N","28°09′26″E","todo"
"Dubuque","42°30′16″N","90°41′13″W","todo"
"Edirne","41°40′37″N","26°33′20″E","been"
"El Pas de la Casa","42°32′32.41″N","1°44′01.78″E","been"
"Europadenkmal","50.130277777778","6.1358333333333","been"
"Fergana Valley","40°54′03″N","71°45′28″E","todo"
"Folsom","38.672222222222","-121.15777777778","todo"
"Four Corners","59°59′57.9689″N","102°00′27.1758″W","todo"
"Four Shire Stone","51°59′15″N","1°39′57″W","todo"
"Fremont","37.543055555556","-121.98277777778","todo"
"Garbolc","47.94517°N","22.85993°E","todo"
"Giby","53°57′17″N","23°31′00″E","todo"
"Giurgiulești","45°29′N","28°12′E","been"
"Golan Heights","32°45′N","35°45′E","been"
"Golden Triangle","20°21′20″N","100°04′53″E","todo"
"Golem Korab","41°52′39″N","20°35′40″E","todo"
"Green Mountain","43°57′N","73°04′W","been"
"Harpers Ferry","39°19′40″N","77°44′47″W","been"
"Hohenau an der March","48°36′N","16°54′E","been"
"Hranice","50.30325°N","12.05111°E","todo"
"Hrčava","49°31′03″N","18°50′56″E","todo"
"Iguazú","25°35′33″S","054°35′35″W","todo"
"Indira Col","35°39′40″N","76°48′10″E","todo"
"Jones Point Light","38°47′25.4″N","77°2′26.3″W","been"
"Jongsong Peak","27°53′N","88°08′E","todo"
"Kagera River","2°21′18″S","30°22′22″E","todo"
"Kazungula","17°47′S","25°16′E","todo"
"Kentucky Bend","36.53°N","89.51°W","todo"
"Kerem Shalom","31°13′40″N","34°17′05″E","todo"
"Kerkaszentkirály","46.47594°N","16.59684°E","todo"
"Kremenec","49.08799°N","22.56570°E","todo"
"Kumanovo","42.26281°N","21.58693°E","been"
"Lake Chad","DD°MM′SS″N","DD°MM′SS″W","todo"
"Lake Constance","47°35′N","9°28′E","todo"
"Lake Ludvinava","55°40′45″N","26°38′0″E","todo"
"Lake Prespa","40°54′N","21°02′E","todo"
"Lake Providence","32°48′19″N","91°10′46″W","todo"
"Laughlin","35°8′30″N","114°37′7″W","todo"
"Majdel Shams","33°20′N","35°46′E","been"
"Markleysburg","39°44′14″N","79°27′11″W","todo"
"Mont Dolent","45°55′21″N","7°2′46″E","been"
"Moudéri","14°46′N","12°15′W","been"
"Mount Frissell","42.051093558°N","73.481977744°W","been"
"Mount Roraima","5°08′36″N","60°45′45″W","todo"
"Mount Sabyinyo","01°24′S","29°36′E","been"
"Mpundweni Beacon","25.95268°S","31.97542°E","todo"
"Naafkopf","47°03′38.54″N","9°36′25.75″E","been"
"Negotin","44.21586°N","22.67578°E","todo"
"Northfield","42°41′45″N","72°27′12″W","been"
"Nová Pec","48°46′16″N","13°50′22″E","todo"
"Ohioville","40°40′46″N","80°28′17″W","todo"
"Pafuri Triangle","22°24′05″S","31°11′49″E","todo"
"Parmu","57°31′05″N","27°21′05″E","todo"
"Pic de Médécourbe","42°36′07″N","01°26′32″E","been"
"Port Jervis","41°21′26.18″N","74°41′41″W","been"
"Prut","48.25957°N","26.63016°E","todo"
"Rajka","47.99689°N","17.19832°E","been"
"Reschen Pass","46.848°N","10.505°E","todo"
"Rodange","49°32′48″N","5°50′23″E","been"
"Ruggell","47°14′36″N","9°31′48″E","been"
"Ruzizi River","02°29′27″S","28°53′35″E","todo"
"Sankt Martin an der Raab","46°55′N","16°8′E","todo"
"Schengen","49°28′10″N","6°21′32″E","been"
"Senkivka","52°6′22.6″N","31°46′52.9″E","todo"
"Shawnee Lookout","39.126111","-84.799444","todo"
"Shulep Kamak","42.31173°N","22.35980°E","todo"
"Sioux Falls","43°32′11″N","96°43′54″W","todo"
"South Point","38.4192","-82.5806","todo"
"Swedesboro","39.745884°N","75.310947°W","been"
"Szeged","46°8′N","20°16′E","todo"
"Tamašoŭka","51°33′20″N","23°36′11″E","todo"
"Texhomex","36°30′01.67″N","103°00′08.58″W","todo"
"Trebinje","42°42′43″N","18°20′46″E","todo"
"Treriksröset","69°03′35.9″N","20°32′55.1″E","todo"
"Treriksrøysa","69°03′06.1″N","28°55′43.9″E","todo"
"Tromedja","42.555318°N","20.078997°E","todo"
"Tumba Peak","41°20′37″N","22°56′40″E","todo"
"Tumen River","42°17′34″N","130°41′56″E","todo"
"Union’s End","24.7678°S","19.9995°E","todo"
"Vaalserberg","50°45′17″N","6°01′15″E","been"
"Wiżajny","54°21′45″N","22°47′26″E","todo"
"Zelena Glava","43°31′N","19°13′E","todo"
"Zittau","50°52′13″N","14°49′22″E","todo"
"Záhony","48.417°N","22.183°E","been"
