"name","latitude","longitude","been"
"Sibiu","45.792784°N","24.152069°E","been"
"Riga","56°56′56″N","24°6′23″E","been"
"Yerevan","40°10′53″N","44°30′52″E","todo"
"Belgrade","44°49′04″N","20°27′25″E","been"
"Eberswalde","52°50′″N","13°50′″E","todo"
"Malatya","38°20′55″N","38°19′10″E","todo"
"Strasbourg","48°35′00″N","07°44′45″E","been"
"Birmingham","52.4793°N","1.9029°W","been"
"Babruysk","53°09′N","29°14′E","todo"
"Banská Bystrica","48°44′07″N","19°08′43″E","todo"
"Coimbra","40°12′10″N","8°24′50″W","todo"
"Ipswich","52°3′34″N","1°9′20″E","been"
"Varna","43°13′N","27°55′E","been"
"Vaslui","46°38′18″N","27°43′45″E","todo"
"Russia","55°45′21″N","37°37′02″E","todo"
"Cluj-Napoca","46°46′N","23°35′E","been"
"Porto","39.3°N","8°W","been"
"Mahilyow","53°55′N","30°21′E","todo"
"Lecce","40°21′N","18°10′E","todo"
"Vratsa","43°12′N","23°33′E","todo"
"Nancy","48.6936°N","6.1846°E","todo"
"Arnhem","51°59′N","5°55′E","todo"
"Opava","49°56′17″N","17°54′16″E","todo"
"Baden-Baden","48°45′46″N","08°14′27″E","been"
"San Francisco","37°46′39″N","122°24′59″W","been"
"Naples","40.83583333333333","14.248611111111112","been"
"Ukraine","49°N","32°E","todo"
"Tychy","50°07′25″N","18°59′12″E","todo"
"Pazardzhik","42°12′N","24°20′E","todo"
"Atlanta","33°44′56″N","84°23′24″W","been"
"Lausanne","46°31.19′N","6°38.01′E","been"
"Haskovo","41°56′N","25°34′E","todo"
"Ventimiglia","43°47′25″N","7°36′30″E","been"
"Ústí nad Labem","50°39′30″N","14°2′30″E","todo"
"Nizhny Novgorod","56°19′37″N","44°00′27″E","todo"
"Fribourg","46°48′N","7°09′E","todo"
"Lublin","51°15′″N","22°34′″E","todo"
"Montreal","45°30′32″N","73°33′15″W","been"
"Verona","45°26′19″N","10°59′34″E","todo"
"Pardubice","50°2′19″N","15°46′45″E","todo"
"Homiel","52°26′43″N","30°59′03″E","todo"
"Prešov","49°00′06″N","21°14′22″E","todo"
"Kazan","55°47′47″N","49°06′32″E","been"
"Žilina","49°13′22″N","18°44′24″E","todo"
"Kanggye","40°58′N","126°36′E","todo"
"Pyongyang","39°01′00″N","125°44′51″E","todo"
"București","44°25′57″N","26°6′14″E","todo"
"České Budějovice","48°58′29″N","14°28′29″E","todo"
"Bishkek","42°52′29″N","74°36′44″E","todo"
"Guadalajara","20°40′″N","103°21′″W","todo"
"Teplice","50°38′40″N","13°49′55″E","todo"
"Parma","44°48′05.3″N","10°19′40.8″E","todo"
"Rosario","32°57′27″S","60°38′22″W","todo"
"Athens","37°59′03″N","23°43′41″E","todo"
