"name","latitude","longitude","been"
"Age of Steam","40°28′44.44″N","81°39′58.88″W","todo"
"Anna Paulownastraat","52.08635°N","4.29770°E","been"
"Atchison, Topeka &amp; Santa Fe","35°35′12″N","105°12′53″W","todo"
"Aviemore","57.19118°N","3.82762°W","todo"
"Avignon","43.93833","4.82278","todo"
"B&amp;O Martinsburg","39°27′33″N","77°57′36″W","todo"
"B&amp;O Railroad Museum","39.2854","-76.6324","todo"
"Barreiro","38.65843°N","9.07475°W","todo"
"Barrow Hill","53°16′28.00″N","1°22′54.50″W","todo"
"Bartlett","44°4′36″N","71°17′15″W","todo"
"Bayshore Roundhouse","37.763992°N","122.392858°W","todo"
"Bocholt Textile Museum","51.835","6.62806","todo"
"Broadmeadow","32°55′35.6″S","151°43′35.60″E","todo"
"Calgary Heritage Park","50.98404°N","114.10554°W","todo"
"California Railroad Museum","38°35′5″N","121°30′16″W","todo"
"Carnforth","54.1311°N","2.7727°W","todo"
"Castelo Branco","39.81739°N","7.49295°W","todo"
"Cayeux-sur-Mer","50.17874°N","1.50028°E","todo"
"Chambéry","45.5772","5.91635","todo"
"Changhua","24.0855°N","120.5401°E","todo"
"Chattanooga","35°2′44″N","85°16′2″W","todo"
"Cheyenne","41°7′54″N","104°48′51″W","todo"
"Chicago &amp; North Western","44°21′57″N","98°12′21″W","todo"
"Chicago, Burlington, &amp; Quincy","41°45′39″N","88°18′30″W","todo"
"Churston","50.375°N","3.581°W","todo"
"Colorado Railroad Museum","39.771875°N","105.192969444°W","todo"
"Como Roundhouse","39°19′1″N","105°53′29″W","todo"
"Conklin","42°3′11″N","75°49′39″W","todo"
"Connecticut Valley Railroad","41°17′4″N","72°21′4″W","todo"
"Connolly Station","53.35121°N","6.250185°W","todo"
"Delémont","47.36343","7.35936","todo"
"Derby Works","52.905126°N","1.457706°W","todo"
"Didcot","51.613509°N","1.244772°W","todo"
"Durango &amp; Silverton","37°17′51″N","107°52′14″W","todo"
"Enfield","33.89059°S","151.09246°E","todo"
"Entroncamento","39°27′55″N","8°28′5″W","todo"
"Esquimalt &amp; Nanaimo","48°25′47.74″N","123°22′52.42″W","todo"
"Falun","60°36′26″N","15°37′52″E","todo"
"Finley Roundhouse","33°32′24.57″N","86°50′09.86″W","todo"
"Fort William","56.8198°N","5.1052°W","todo"
"Georgia Railroad Museum","32°04′32″N","81°06′06″W","todo"
"Goulburn","34.7711564°S","149.7114792°E","todo"
"Great Smoky Mountains Railroad","35.4294°N","83.4485°W","todo"
"Grigny","45.6031","4.78822","todo"
"Guadalajara","20.648218°N","103.343494°W","todo"
"Göteborg","57°42′27″N","11°58′03″E","todo"
"Hallsberg","59°04′N","15°07′E","todo"
"Hither Green","51.45072°N","0.00271°E","todo"
"Horsham","51.066°N","0.319°W","todo"
"Hot Springs","34°21′53″N","92°48′59″W","todo"
"Hungarian Railway Museum","47.5419°N","19.0986°E","todo"
"Hyde &amp; Beach","37°47′44″N","122°24′27″W","been"
"Israel Railway Museum","32.8112°N","35.0067°E","todo"
"Jackson Street Roundhouse","44°57′45″N","93°5′46″W","todo"
"Junee Roundhouse","34°53′0.77″S","147°34′45.14″E","todo"
"Kansas City","39°04′46″N","94°36′04″W","todo"
"Keighley","53.867°N","1.911°W","todo"
"Kidderminster","52.38426°N","2.24003°W","todo"
"Landquart","46°58′N","9°32′E","todo"
"Le Crotoy","50.21974°N","1.63021°E","todo"
"Lempuyangan","7.790198900000001°S","110.3754443°E","todo"
"Linwood","43°31′53″S","172°40′21″E","todo"
"Longueau","49.8724","2.34969","todo"
"Luxembourg","49°48′52″N","06°07′54″E","todo"
"Marseille-Saint-Charles","43.309303°N","5.394333°E","todo"
"Minehead","51.2061°N","3.4668°W","todo"
"Miskolc Tiszai","48°05′56″N","20°48′35″E","todo"
"Mohon","49.755533333333","4.7258805555556","todo"
"Montabon","47.6822","0.41056","todo"
"Montluçon","46.3333","2.60335","todo"
"Narragansett Pier","41°25′48″N","71°27′59″W","todo"
"Neville Hill","53.7923°N","1.5051°W","todo"
"North Carolina Transport Museum","35°41′13″N","80°26′10″W","todo"
"Nuremberg Transport Museum","49.445556°N","11.074444°E","todo"
"Okrąglak, Piła","53°08′33″N","16°45′08″E","todo"
"Old Oak Common","51.5249°N","0.2467°W","todo"
"Oyster Bay","40.7594","-73.5028","todo"
"Papar","5.73261°N","115.93286°E","todo"
"Peterborough","32.9752°S","138.8265°E","todo"
"Port Jervis","41.3746°N","74.6944°W","been"
"Powell &amp; Market","37°47′44″N","122°24′27″W","been"
"Railtown 1897 State Park","37°57′3.54″N","120°25′3.75″W","todo"
"Raleigh","35°51′15″N","78°45′43″W","todo"
"Richmond Hill","40.69626°N","73.82334°W","been"
"Rockland","44°6′4″N","69°7′23″W","todo"
"Roundhouse","51.5432°N","0.1519°W","been"
"Rowsley South","53.1746°N","1.6095°W","todo"
"Saint-Maurice","46.216861","7.00089","todo"
"Samedan","46°32′N","9°52′E","todo"
"Skierniewice","51°57′56″N","20°08′34″E","todo"
"St Blazey, Cornwall","50.35206°N","4.70925°W","todo"
"Statfold Barn","52.65493°N","1.64643°W","todo"
"Steamtown","41.40733°N","75.67132°W","been"
"Sudbury","46°34′40″N","81°04′10″W","todo"
"Summerville","34.47881°N","85.34654°W","todo"
"Swanage","50.61353°N","1.98235°W","todo"
"Swindon","51.56°N","1.78°W","todo"
"Taylor &amp; Bay","37°47′44″N","122°24′27″W","todo"
"Tebing Tinggi","3°19′10″N","99°9′8″E","todo"
"Timișoara","45.75177°N","21.20163°E","todo"
"Toronto Railway Museum","43°38′28″N","79°23′07″W","todo"
"Tournon-sur-Rhone","45.0681°N","4.8333°E","todo"
"Tsuyama","35.05332°N","133.999782°E","todo"
"Turin","45.04124°N","7.66691°E","todo"
"Ulster Transport Museum","54.649238°N","5.798968°W","todo"
"Umekoji Steam Museum","34°59′14″N","135°44′33″E","todo"
"Uster","47.350396°N","8.718681°E","todo"
"Utrecht Spoorwegenmuseum","52.088°N","5.1312°E","todo"
"Valladolid","41.6403°N","4.7292°W","todo"
"Valley Heights","33.7028°S","150.581°E","todo"
"Veracruz","19.19968°N","96.14607°W","todo"
"Villeneuve-Saint-Georges","48.75637","2.44108","been"
"Wansford","52°33′50″N","00°20′23.25″W","todo"
"West Seneca","42°51′00″N","78°47′59″W","todo"
"Whitehead","54.75730°N","5.71159°W","todo"
"Yeovil Junction","50.9247°N","2.6132°W","todo"
"York National Railway Museum","53.95980°N","1.09771°W","todo"
