"name","latitude","longitude","been"
"Congress","50°51′8″N","4°21′43″E","been"
"Monument","51.513°N","0.088°W","been"
"Muzeum","50.0796°N","14.4312°E","been"
"World Trade Center","40.7115°N","74.0114°W","been"
"Mayakovskaya","55.7701°N","37.5958°E","been"
"Champ de Mars","45°30′36″N","73°33′23″W","been"
"Park Kultury","55.73553","37.59208","been"
"Jamaica–179th Street","40.712459°N","73.78448°W","been"
"Forest Hill","51.439°N","0.053°W","been"
"Florenc","50.091°N","14.439°E","been"
"Leninsky Prospekt","55.7077°N","37.5861°E","been"
"Lima","12°2′36″S","77°01′42″W","been"
"Prazeres","38.42°N","9.10°W","been"
"Moskovskaya","56°19′17″N","43°56′43″E","been"
"Forest Hills","42.30073°N","71.11406°W","been"
"Marconiplein","51°54′48″N","4°25′58″E","been"
"Sportivnaya","55.7233°N","37.5639°E","been"
"Opera","51°13′05″N","4°24′56″E","been"
"Place Jean Jaurès","45.737541°N","4.837294°E","been"
"Alma-Marceau","48.864904°N","2.300234°E","been"
"Komsomolskaya","55.7748°N","37.6549°E","been"
"Pasteur","45°29′26.6″N","9°13′05″E","been"
"Uruguay","34°53′S","56°10′W","been"
"Jamaica","17°58′17″N","76°47′35″W","been"
"Clemenceau","50°50′28″N","4°19′50″E","been"
"Marconi","41°50′58″N","12°28′32″E","been"
"Anděl","50.074°N","14.405°E","been"
"Akademicheskaya","55.6877°N","37.5733°E","been"
"Ploshchad Revolyutsii","55.7566°N","37.6216°E","been"
"Jean Jaurès","43.60595°N","1.448988889°E","been"
"Frunzenskaya","55.7267°N","37.5786°E","been"
"Kenmore","42°20′56.13″N","71°5′44.19″W","been"
"World Trade Centre","25.2248°N","55.2851°E","been"
"DeKalb Avenue","40.690254°N","73.982277°W","been"
"Gagarinskaya","55.050556°N","82.914722°E","been"
"Alma","50.849722°N","4.453333°E","been"
"Chinatown","42.3522°N","71.0627°W","been"
"Waterloo","50°25′03″N","4°27′00″E","been"
"Richmond","51.463°N","0.3°W","been"
"DeKalb Street","40.0989°N","75.352°W","been"
"Plaça Espanya","41.375°N","2.149°E","been"
"Boulogne–Jean Jaurès","48.842278°N","2.238877°E","been"
"Chkalovskaya","55.7565°N","37.6573°E","been"
"Astoria","47.4944°N","19.06°E","been"
"Sportyvna","49°58′46″N","36°15′39″E","been"
"Angel","51.532°N","0.106°W","been"
"Van Ness","37.775°N","122.419°W","been"
"Waterlooplein","52°22′03″N","4°54′06″E","been"
"Luxembourg","49.6","6.133889","been"
"Châtelet","50°24′N","04°31′E","been"
"Jaurès","48.88179007771832°N","2.370198369026184°E","been"
"Martin Luther King","34.009571°N","118.335288°W","been"
"New Dorp","40.5736°N","74.1171°W","been"
"Broadway","42.3429°N","71.0572°W","been"
"Dorp","52°03′15″N","4°29′30″E","been"
"Saxe-Gambetta","45.753799°N","4.846988°E","been"
"Haymarket","42.3633°N","71.0582°W","been"
"Garibaldi","45.751594°N","4.853693°E","been"
"Gambetta","50.62637778°N","3.052213889°E","been"
"Plaza de España","40.4249°N","3.70801°W","been"
"Pushkinska","50°0′14.16″N","36°14′51.08″E","been"
"Florence","33.9748°N","118.243°W","been"
"Horta","38.533333333333","-28.633333333333","been"
"Ploshchad Lenina","55.03°N","82.920556°E","been"
"Victoria","37.99296°N","23.730195°E","been"
"Danube","48.88180771631629°N","2.3942014575004578°E","been"
"République","45.770558°N","4.87366°E","been"
"Florida","28.0°N","82.0°W","been"
"Admiralty","22.2788°N","114.1646°E","been"
"Civic Center","33.766305°N","84.387209°W","been"
"Champs-Élysées–Clemenceau","48.8674114214171°N","2.31395945009909°E","been"
"Pushkinskaya","55.765°N","37.6079°E","been"
