"name","latitude","longitude","been"
"Nea Moni of Chios","38°22′26″N","26°03′20″E","todo"
"Brooklyn Bridge","40.7057°N","73.9964°W","been"
"Osun-Osogbo Sacred Grove","7.7555555555556","4.5522222222222","todo"
"Rhaetian Railway","46°24′32″N","10°1′11″E","todo"
"Giant’s Causeway","55°14′27″N","6°30′42″W","been"
"Corfu","39.60°N","19.87°E","todo"
"Ħal Saflieni Hypogeum","35°52′10.5″N","14°30′24.5″E","todo"
"Redwood National Park","41.3°N","124°W","been"
"Edinburgh","55°57′12″N","03°11′21″W","been"
"Neuf-Brisach","48.0177°N","7.5285°E","been"
"Masada","31°18′56″N","35°21′14″E","been"
"Australian Convict Sites","33°22′42″S","150°59′40″E","todo"
"Great Barrier Reef","-16.4","145.8","todo"
"Saint Catherine Monastery","28°33′20″N","33°58′34″E","todo"
"Canterbury Cathedral","51.2797°N","1.0831°E","been"
"Seville Cathedral","37.3857421596313","-5.9930955622969","todo"
"Sukur","10°44′26″N","13°34′19″E","todo"
"Sydney Opera House","33.85681°S","151.21514°E","todo"
"Trans-Iranian Railway","35.65830555555556","51.39833333333333","todo"
"Vilnius","54°41′14″N","25°16′48″E","todo"
"Yellowstone","44°35′47″N","110°32′50″W","todo"
"Kazan Kremlin","55°48′00″N","49°06′20″E","been"
"Schönbrunn Palace","48.184516°N","16.311865°E","been"
"Istanbul","41°00′49″N","28°57′18″E","been"
"Aksum","14°7′15″N","38°43′40″E","been"
"Pyramids of Giza","29°58′34″N","31°7′58″E","been"
"Rufisque","14°43′N","17°16′W","been"
"Macao","22.19°N","113.54°E","been"
"Mount Kenya","0°9′03″S","37°18′27″E","been"
"Strasbourg","48°35′00″N","07°44′45″E","been"
"Dubrovnik","42°38′25″N","18°06′30″E","been"
"Jeju Island","33.38°N","126.53°E","todo"
"Borobudur","7.608°S","110.204°E","todo"
"Grand Canyon National Park","36.0553","-112.122","been"
"Rila Monastery","42°08′00″N","23°20′25″E","been"
"Graz","47°04′15″N","15°26′19″E","been"
"Swiss Alps Jungfrau-Aletsch","46°30′N","8°02′E","been"
"Lamu Old Town","2°16′10″S","40°54′8″E","been"
"Longwy","49.52°N","5.7606°E","been"
"Þingvellir National Park","64°15′29″N","21°07′30″W","been"
"Nilgiri Mountain Railway","11°30′37″N","76°55′54″E","todo"
"Pattadakal","15°57′05″N","75°48′53″E","todo"
"Paris, Banks of the Seine","48.85666666666667","2.352222222222222","been"
"Troy","42.731666666667","-73.6925","todo"
"Sighişoara","46°13′1″N","24°47′28″E","been"
"Brugge","51°12′32″N","03°13′27″E","been"
"Taos Pueblo","36.43917°N","105.54559°W","been"
"Teotihuacan","19°41′33″N","98°50′38″W","todo"
"Zamość","50°43′00″N","23°15′10″E","todo"
"Petra","30°19′43″N","35°26′31″E","todo"
"Baden bei Wein","48°00′27″N","16°14′04″E","been"
"Madara Rider","43°16′36.1″N","27°07′10.4″E","todo"
"Montecatini Terme","43°52′58″N","10°46′16″E","todo"
"Mount Vernon","38.708°N","77.0861°W","been"
"Kathmandu","27.71°N","85.32°E","todo"
"Monticello","38°00′37.1″N","78°27′08.4″W","been"
"Litomyšl Castle","49°52′25″N","16°18′52″E","been"
"Abomey","7°11′8″N","1°59′17″E","been"
"Camagüey","21°23′2″N","77°54′27″W","todo"
"Havana","23°08′12″N","82°21′32″W","todo"
"Palmyra","34°33′05″N","38°16′05″E","todo"
"Bern","46°57′08.66″N","7°26′22.50″E","been"
"Kyoto","35°0′42″N","135°46′6″E","todo"
"Riga","56°56′56″N","24°6′23″E","been"
"Kaesong","37°58′N","126°33′E","todo"
"Angkor Wat","13°24′45″N","103°52′0″E","todo"
"Jerusalem","31°46′44″N","35°13′32″E","been"
"Lake District","54°30′N","3°10′W","been"
"Hegra","63.464°N","11.114°E","todo"
"Palau de la Música Catalana","41°23′15″N","2°10′32″E","been"
