"name","latitude","longitude","been"
"Court Street","40.69361111111111","-73.99027777777778","been"
"Forest City, Johor","01.34°N","103.59°E","todo"
"Aeropuerto de Castellón","40°12′35″N","0°04′11″E","todo"
"Angra","23°00′30″S","44°27′26″W","todo"
"Saint Elmo Bridge","35°54′10.32″N","14°31′15.61″E","todo"
"Anneessens","50.84381°N","4.34478°E","been"
"Ponts d’Hingeon","50°31′N","05°00′E","todo"
"Canfranc","42°45′05″N","00°30′51″W","todo"
"Prora","54°26′21″N","13°34′32″E","todo"
"Kopráš Viaduct","50.7996°N","4.3067°E","todo"
"Spookbruggen van Varsenare","51°12′23″N","3°7′17″E","todo"
"Staatsmijn Beatrix","51°10′53″N","6°8′36″E","todo"
"Eintveit Bridge","59.8278°N","6.2088°E","todo"
"Alabama Avenue","40.67683°N","73.900008°W","been"
"Botanique","50.853611°N","4.365833°E","been"
"Saint-Guidon","50.835°N","4.305556°E","been"
"Evergrande Hefei Center","31.708611","117.306343","todo"
"Échangeur de Drogenbos","50°47′N","04°19′E","been"
"EuropaCity","48.9717°N","2.4729°E","todo"
"Ryugyong Hotel","39°02′12″N","125°43′51″E","todo"
"Valdecaballeros","39°14′N","05°11′W","todo"
"Port Nelson Bridge","57°03′17″N","92°35′54″W","todo"
"Palatul Parlamentului","44°25′39″N","26°5′15″E","todo"
"Pont de Godsheide","50.94°N","5.401944°E","todo"
"Lemoniz","43°24′41″N","2°54′8″W","todo"
"Oostham","51°4′50″N","5°9′46″E","todo"
"Parc","50.846667°N","4.3625°E","been"
"Brussels-Chapel","50°50′28″N","4°20′55″E","been"
"M8 Bridge to Nowhere","55°51′58.29″N","4°16′16.87″W","todo"
"Borovsko Bridge","51°28′56″N","0°10′00″W","todo"
"Antwerp Prémétro","51.230278°N","4.442778°E","been"
"Hôpital d’Etterbeek","50°50′N","04°23′E","todo"
"Nevins Street","40.688709°N","73.980904°W","been"
"Broadway","40.705433°N","73.950219°W","been"
"Crimea","45.3°N","34.4°E","todo"
"New Yalu River Bridge","40°2′8″N","124°22′10″E","todo"
"Charleroi Metro Line 5","50.418694°N","4.489855°E","been"
"Gentilly","46°23′45″N","72°21′25″W","todo"
"Euroshopping Mechelen","51.028055555555554","4.480277777777777","todo"
"Fort Duquesne Bridge","40.4443°N","80.0093°W","been"
"Zwentendorf","48.3544°N","15.8847°E","todo"
"World Trade Center","40.711388888889","-74.0125","been"
"Stendal","52°36′N","11°51′E","todo"
"Marble Hill","38°36′03.09″N","85°26′45.19″W","todo"
"Bellefonte","34°42′31″N","85°55′45″W","todo"
"Choluteca Bridge","13.3116°N","87.1915°W","todo"
"Haxo","48.8787°N","2.40164°E","been"
"Lombardijen","51°53′N","4°32′E","been"
"Échangeur d’Heppignies","50.471111111111","4.5005555555556","been"
"Dalian Greenland Center","38.9266°N","121.6669°E","todo"
"Spoorlijn Bakhuisgebergte–Apoera","4.92803","-56.96597","todo"
"Échangeur de Neerpede","50.832004°N","4.290462°E","been"
"63rd Street Tunnel","40°45′36″N","73°57′18″W","been"
"IJburg Metro Tunnel","52.355","4.997777777777777","been"
"Porte Molitor","48.842982457079444°N","2.2563359141349792°E","been"
"Suzhou Zhongnan Center","31.3180°N","120.6730°E","todo"
"Échangeur d’Arquennes","50.567222222222","4.2994444444444","been"
"Cité Administrative de l’État","50.8521613272257°N","4.36342204364468°E","been"
"Sint-Pieterziekenhuis","50.880022222222","4.6951805555556","todo"
"Tunnel-Canal de Bernistap","50.104616°N","5.869614°E","been"
"Ciurel Bridge","50.7996°N","4.3067°E","todo"
"Bergen Street","40°41′14.11″N","73°59′24.02″W","been"
"Brussels-Congress","50°51′8″N","4°21′43″E","been"
"Kalkar","51°44′20″N","6°17′33″E","todo"
"Olimpijka","52.0744","20.2567","todo"
"Dom Sovetov","54.7106°N","20.5128°E","todo"
"Rijksweg A4","52.05555556","4.36833333","been"
"Hôpital de Montigny-le-Tilleul","50.379401°N","4.379791°E","todo"
"Gare de Lorraine TGV","48°56′51″N","6°10′11″E","been"
"Kasteel Almere","52°20′53″N","5°14′51″E","todo"
"Aqueduc de Maintenon","48.58303889","1.58621667","todo"
"Government Center","25°46′33″N","80°11′45″W","been"
"Juragua","22°04′00.84″N","80°30′33.12″W","todo"
"Block 37 Superstation","41.883932°N","87.628841°W","been"
"Yekaterinburg TV Tower","56°49′28″N","60°36′33″E","todo"
"Lichfield Canal Aqueduct","52.6552°N","1.9016°W","todo"
"Aérotrain d’Orléans","48.045975°N","1.88416°E","todo"
"Goldin Finance 117","39.08922","117.08083","todo"
"Weesperplein","52°21′40″N","4°54′28″E","been"
"Berlinka","54.5264296°N","20.2836840°E","todo"
"Bridge to Nowhere","50.7996°N","4.3067°E","todo"
"Louise","50.835833°N","4.355278°E","been"
"Landsberger Arkaden","52°31′41.08″N","13°27′26.27″E","todo"
"Simonis","50.863525°N","4.331084°E","been"
"Pannenhuis","50°52′22″N","4°20′31″E","been"
"Bécancour","46.333338°N","72.433338°W","todo"
"Brennilis","48.3583°N","3.8497°W","todo"
"Sainctelette","50.857867°N","4.350242°E","been"
"Échangeur de Machelen","50.902583333333","4.435","been"
"Angerbogen","51°21′43″N","6°45′0.5″E","todo"
"Échangeur de Haut-Ittre","50.660833333333","4.3105555555556","been"
"City Hall","40.71324°N","74.007082°W","been"
"Foreshore Freeway Bridge","33°54′53.18″S","18°25′18.50″E","todo"
"Broken Bridge","13.0125°N","80.2759°E","todo"
"Porozovo","50.7996°N","4.3067°E","todo"
