"name","latitude","longitude","been"
"Hadrian’s Wall","55°01′N","2°17′W","been"
"Enceinte de Thiers","48.8999","2.34695","been"
"Keffi","8.8464°N","7.8733°E","todo"
"Talinn","59°26′15.87″N","24°44′34.33″E","been"
"Vienna","48.2083°N","16.3731°E","been"
"Antonine Wall","55.967°N","4.067°W","been"
"Constantinople","41.0122°N","28.976°E","been"
"Enceinte de Philippe Auguste","48.861972","2.340472","been"
"Barcelona","41°22′58″N","2°10′37″E","been"
"Ston","42.838°N","17.697°E","todo"
"Jerusalem","31°46′36″N","35°14′03″E","been"
"Brussels","50.833°N","4.345°E","been"
"Antwerp","51°13′04″N","04°24′01″E","been"
"Kano","12°00′N","8°31′E","todo"
"Vietnam Memorial","38°53′28″N","77°2′52″W","been"
"Hunger Wall","50.083°N","14.395°E","been"
"Quebec City","46.809973°N","71.211609°W","todo"
"Neuf-Brisach","48.0177°N","7.5285°E","been"
"Modlin Fortress","52°26′18″N","20°40′55″E","been"
"Dubrovnik","42.64°N","18.108°E","been"
"Diocletian’s Palace","43°30′30″N","16°26′24″E","been"
"Enceinte de Louis XIII","48.870134°N","2.347885°E","been"
"Western Wall","31.7767°N","35.2345°E","been"
"Gum Wall","47°36′29.8794″N","122°20′25.0254″W","been"
"Bratislava","48°08′38″N","17°06′35″E","been"
"Trnava","48°22′39″N","17°35′18″E","been"
"Linienwall","48°11′19″N","16°22′41″E","been"
"Belgrade Fortress","44°49′24″N","020°27′01″E","been"
"Berlin Wall","52°30′16″N","13°26′28″E","been"
"Nevers","46.9933°N","3.1572°E","been"
"Montréal","45°30′18″N","73°33′18″W","been"
"Great Wall of China","40.68°N","117.23°E","todo"
"Rocamadour","44.8003°N","1.6186°E","been"
"Hainburg an der Donau","48°8′45″N","16°56′46″E","been"
"London","51.51°N","0.08°W","been"
"Trier","49°45′35″N","6°38′38″E","been"
