"name","latitude","longitude","been"
"Niagara Falls","43.0799°N","79.0747°W","been"
"Victoria Falls","17°55′28″S","25°51′24″E","todo"
"Inga Falls","5.448835°S","13.588362°E","todo"
"Staubbachfall","46.58965°N","7.905505°E","been"
"Angel Falls","5°58′03″N","62°32′08″W","todo"
"Ithaca Falls","42.452851°N","76.4916°W","been"
"Rochester High Falls","43.1615°N","77.6135°W","been"
"Kent Falls","41°46′37″N","73°25′09″W","been"
"North Cascades","48°46′N","121°48′W","been"
"Great Falls","47.503611111111","-111.28638888889","been"
"Blue Nile Falls","11.4905°N","37.5878°E","been"
"Browne Falls","45°23′55″S","167°5′7″E","todo"
"Gullfoss","64°19′34″N","20°07′16″W","been"
"Yosemite Falls","37.756845°N","119.596785°W","todo"
"Rusumo Falls","2°22′31″S","30°47′33″E","todo"
"Venta Rapid","56°58′04.7″N","21°58′44.3″E","todo"
"Iguazu Falls","25°41′12″S","54°26′41″W","todo"
"Multnomah Falls","45.57595°N","122.11536°W","been"
"Willamette Falls","45.35239°N","122.61763°W","been"
"Tugela Falls","28.7522°S","28.8941°E","todo"
"Lichtenhain","50.9444","14.2389","todo"
"Horsetail Falls","45.5894","-122.068","been"
"Bushkill Falls","41.1174°N","75.01°W","been"
"Seneca Falls","42.91361111111111","-76.79027777777777","been"
"Kaieteur Falls","5°10′30″N","59°28′49.8″W","todo"
"Rheinfall","47.67778°N","8.61503°E","todo"
"Skógafoss","63°31′55.6″N","19°30′40.1″W","been"
