"name","latitude","longitude","been"
"Exposição do Mundo Português","38°41′47″N","9°12′27″W","been"
"Exposition Universelle","45.7763","4.85142","been"
"Exposition Coloniale","48.8307°N","2.4141°E","been"
"Exposition de Charleroi","50.416724","4.449966","been"
"Expo 2023","34°33′31″S","58°30′41″W","todo"
"Exposición Internacional","41°22′14″N","2°09′00″E","been"
"Expo 58","50°53′50″N","4°20′21″E","been"
"Expo 2020","24°57′39″N","55°09′03″E","been"
"Gewerbeausstellung","52°29′25″N","13°28′12″E","been"
"Century 21 Exhibition","47°37′17″N","122°21′03″W","been"
"World’s Fair","40°44′39″N","73°50′40″W","been"
"Expo 67","45°31′00″N","73°32′08″W","been"
"International Exposition","50°48′46.4″N","4°22′49.8″E","been"
"Exposição Mundial de 1998","38.7677°N","9.0958°W","been"
"Exhibition of the Industry of All Nations","40.7538°N","73.9836°W","been"
"World’s Columbian Exhibition","41°47′24″N","87°34′48″W","been"
"Expo 2025","34°39′12.7″N","135°23′11.1″E","todo"
"Exposition Internationale","48°51′44″N","02°17′17.7″E","been"
"Crystal Palace","51.4226°N","0.0756°W","been"
"Cotton States and International Exposition","33.7848009°N","84.3751073°W","been"
"Millenium Dome","51°30′10″N","0°0′11″E","been"
"ВДНХ","55°49′47″N","37°37′56″E","been"
"Hannover Expo 2000","52°19′18″N","9°48′44″E","todo"
"Exhibition of Contemporary Culture","49°11′15″N","16°34′41″E","been"
"Weltausstellung","48°12′58″N","16°23′44″E","been"
"Wereldtentoonstelling","51°12′26.6″N","4°23′24.8″E","been"
"Zaragoza Expo 2008","41°40′8.58″N","0°54′10.27″W","todo"
"Panama–Pacific International Exposition","37°48′16.8″N","122°26′48″W","been"
