🇦🇱 Lek								1	1	3		1	4	1			9							
🇦🇷 Peso																1		1			5	1		
🇦🇲 Dram												1												
🇧🇸 Dollar																	1							
🇧🇾 Ruble													1											
🇧🇪 Franc												1	1	10			12							
🇧🇦 Mark													1	1		2	4	1			1			
🇧🇼 Pula													1				2					1		
🇧🇷 Rial										1							3	1			1			
🇧🇬 Lev													1			1	1				1		4	1
🇰🇭 Riel									1															
🇨🇲 Franc				1		1																		
🇨🇦 Dollar												1	1	1		2	2		4		4	3		11
🇨🇻 Escudo					1	2			1	1		3	3											
🇨🇫 Franc			1	1		2	6		3	4	1		3	2										
🇱🇰 Fauna																	1							
🇹🇩 Franc			1																					
🇨🇱 Peso					1				2							2								
🇨🇳 Yuan									2				1			3	8				3	1		
🇨🇴 Peso	1	1	1	1	1	3	3	3	2	1														
🇨🇷 Colon										1			1											
🇭🇷 Kuna																1	1							
🇨🇿 Koruna								1	1	1		1	1	2		3	2	3						
🇩🇰 Krone												1	4	4			6	4	3					
🇩🇯 Franc									1															
🇩🇴 Peso							1	1	3	1			1	1										
🇪🇬 Pound								1	2	1			2	1			6	2						
🇬🇶 Franc							1																	
🇪🇪 Kroon													1	2		1				4				
🇪🇹 Birr													1				2	1			4	3		3
💶 Euro														1		4		2		4				
🇫🇮 Markka										1			1	1			5	1			4			
🇫🇷 Franc													2	1		1	1	2		2	1	4		
🇬🇲 Dalasi								1	3			1	1	1			7							
🇬🇪 Lari																	4			2		1		
🇩🇪 Mark													1			1	1	2			2	1	1	1
🇬🇭 Cedi												1	5	3		2	7	1		4	2	1		2
🇬🇷 Drachma								1	1	2				1										
🇬🇳 Franc		1	1	2	1																			
🇭🇰 Dollar												1	1	2		2	2	1						
🇭🇺 Forint						2		3	3	4		4	5	8		8	4							
🇮🇸 Krona									1	1			5	1			1							
🇮🇳 Rupee							4		3			2	3			5	7	1	2					
🇮🇩 Rupiah x1000									1	2			1	1		1								
🇮🇷 Rial												1												
🇮🇪 Pound																	1	2		1	1	3	2	
🇮🇱 Shekel										1		2	5	9		2	10	11			31			
🇮🇹 Lira						5	2	1	2	2														
💴 Yen						3	1		4	1			2	3			4							
🇯🇴 Dinar																		2	1			1		
🇰🇪 Shilling						1		2	1	2		4	2	3			8				2	3		
🇰🇿 Tenge			1	1			2		1	2			2	1										
🇰🇷 Won						8	3		8	3			12											
🇱🇻 Lat												1		2		1				1			1	
🇱🇷 Dollar									2	2		2	1											
🇱🇹 Litas																								1
🇲🇴 Pataca													1											
🇲🇰 Dinar									1	2			11	1			5							
🇲🇬 Ariary						1				1		1	1											
🇲🇼 Kwacha					1	1				3			1											
🇲🇽 Peso									1	1		3	2	7		4	2	6		2				
🇲🇩 Leu																	1	2	3		1			
🇲🇦 Dirham																	2	1						
🇲🇿 Meticai										1						4								
🇲🇲 Kyat							1		2	1		1	1				1							
🇳🇦 Dollar																						1		
🇳🇱 Guilder													1	2	3		2		8		8	2		4
🇳🇨 Franc									4	1		1				1								
🇳🇬 Naira							1		3			1												
🇳🇴 Krone																	1	3						
🇵🇦 Balboa																					2			1
🇵🇪 Sol																		1						
🇵🇱 Zloty									1	1		1	1			5	1	2		1	3	1	1	3
🇷🇴 Leu					1	1	1																	
🇷🇺 Ruble			1			6	2	5	4	4		5	10	9		1	5					1		
🇷🇺 Ruble x1000									2				1	1			1							
🇷🇼 Franc				1	1	1	2		3	3														
🇼🇸 Tala																1	1							
🏴󠁧󠁢󠁳󠁣󠁴󠁿 Pound																	1							
🇷🇸 Dinar								1		3		1	2	7		1	4							
🇸🇨 Rupee													1											
🇸🇱 Leone						1	1																	
🇸🇬 Dollar																		1		2	2			
🇸🇰 Koruna												2	4	1		2				2	1			
🇸🇴 Shilling							1																	
🇸🇩 Dinar									1	1			1				1							
🇸🇪 Krona										2		2	2	4			10							
🇨🇭 Franc													2	3		2	8	12		5	14	9		
🇹🇿 Shilling						1				3														
🇹🇭 Bhat									3	1		4	1	4			4							
🇹🇴 Pa'anga																	1			1	1	3	1	1
🇲🇩 Ruble													1	1			4	2	4		4	2		
🇹🇳 Dinar														1										
🇹🇷 Lira x1000							1		1		2													
🇺🇬 Shilling		1	1	1	1	1	2		6															
🇺🇦 Hryvnia																	2		2		1	1	2	
🇦🇪 Dirham																	6							
💷 Pound																1	3	3		3	5	6	3	12
💵 Dollar																6	18	6	6		5	2		11
🇷🇺 USSR Ruble						1	1	3		1	2		2	7			8	1						1
🇺🇿 Sum			1	3	1		1		1															
🇻🇺 Vatu						2	1		3	1		4				1	2							
🇻🇪 Bolivar				2						4			3	2										
🇻🇳 Dong																	1							
🌍 CFA			3	3	1	3	6		3	2	2			1										
🇷🇸 Dinar										1														
🇿🇲 Kwacha									3			3	1			1	5							
🇿🇼 Dollar														1			1							1
